,Título,Autor,Categoría,Posición,Nota Media,Votos,Nota,Críticas,Resumen
392,GRUPO SALVAJE. Hooligans Ilustrados,"JABOIS, MANUEL",Deportes y juegos,9,7.67,3,Muy bueno,0,"El libro que firma Manuel Jabois, Grupo salvaje, traza un recorrido por el madridismo de un niño gallego. No es algo casual, porque para Jabois el fútbol y la infancia van unidos. “Yo pienso que el fú"
393,AVIONES Y VERBENAS. Hooligans Ilustrados,"ACOSTA, DAVID (Usuario Arroba)",Deportes y juegos,10,7.5,2,Muy bueno,0,Era muy tarde cuando llegó el autobús de los jugadores. Vi claramente cómo me rodeaba una nube de humo. Se había formado en la estación de Getafe Central y bajaba recorriendo la calle Ramón y Cajal. T
394,TODO SE PUEDE ENTRENAR,"NADAL, TONI",Deportes y juegos,11,7.33,3,Muy bueno,0,"Rafa Nadal se ha convertido en un referente dentro del mundo del deporte no sólo por su éxito espectacular, sino también por la encarnación de una serie de valores que trascienden lo deportivo.Toni Na"
395,FRANZ. JÜRGEN. PEP.,"TORRES XIRAU, AXEL",Deportes y juegos,12,7,2,Muy bueno,0,"¿Qué ha ocurrido en el fútbol alemán para que tanto la selección nacional como su club más representativo, el Bayern de Múnich, hayan pasado en un periodo de diez años de ser considerados fuera de sus"
396,UNA CUESTIÓN DE FE. Hooligans Ilustrados,"GONZÁLEZ TORRALBA, ENRIC",Deportes y juegos,13,7,1,Muy bueno,0,"El libro que firma Enric González sobre el Espanyol de Barcelona traza un recorrido por la historia del equipo blanquiazul, y explica el proceso a través del cual se construyó la identidad del club: “"
397,BARRACA Y TANGANA,"BALLESTER, ENRIQUE",Deportes y juegos,14,7,1,Muy bueno,0,"Las columnas de Barraca y Tangana (publicadas en el diario Levante) se han convertido en una contraseña de culto entre los ojeadores más exigentes. Ballester escribe, aparentemente, de fútbol. Pero no"
398,EL PRIMERO DE LA CUERDA,"FRISON-ROCHE, ROGER",Deportes y juegos,15,7,1,Muy bueno,0,Una obra de culto que habla de la pasión por las cumbres y la solidaridad en la montaña. Uno de los libros de montaña más vendidos en todo el mundo y el título que lanzó a su autor Roger Frison-Roche 
399,EL TAO DEL GUNG FU,"LEE, BRUCE",Deportes y juegos,16,7,1,Muy bueno,0,"El gung fu, antecesor del karate, ju-jutsu, etc., es una de las formas conocidas más antiguas de defensa personal y se puede considerar como la esencia concentrada de sabiduría y pensamientos profundo"
400,INFRAFÚTBOL. Hooligans Ilustrados,"BALLESTER, ENRIQUE",Deportes y juegos,17,7,1,Muy bueno,0,Infrafútbol es el hallazgo de una pasión que te mata lentamente. El hórror vacui en cada córner. La luz pastosa y tenue de los segundos tiempos. Los bocadillos de fritanga. El sabor metálico de las la
401,MUCHO MÁS QUE FITNESS. Motívate y ponte en forma en 2 semanas,"ESCOLÀ, CESC",Deportes y juegos,18,10,1,Excelente,0,"Todos tenemos algo que se nos da bien, una magia que transmitir, y Cesc Escolà, el entrenador de moda más televisivo del momento, tiene el don de motivar a las personas para cambiar sus hábitos, hacer"
402,MI DIARIO DE YOGA. Cuerpo y mente sanos en 4 semanas,XUAN-LAN,Deportes y juegos,19,10,1,Excelente,1,"Descubre los conceptos básicos del yoga para conseguir el equilibrio entre mente y cuerpo. La profesora Xuan-Lan te propone un plan de 28 días con ejercicios de yoga diarios, a través de un método fác"
403,EL LARGO INVIERNO. Hooligans Ilustrados,"CAZÓN, PATRICIA",Deportes y juegos,20,9,1,Excelente,0,"“Era mayo de 1994, yo acababa de cumplir catorce años y la Cultu bajaba a Tercera. Primer descenso de mi vida. Qué quemazón en el pecho, un año por delante en el que todos los días serían de noche. A "
404,YONKIS Y GITANOS.  Hooligans Ilustrados,"LOBO, JOSÉ",Deportes y juegos,21,8.67,3,Muy bueno,0,"En realidad, la obra de Hemingway es un gran críptico sobre la historia sevillista. Y quien diga lo contrario, o se lo dijera a cierto chaval que vio a su equipo bajar con 16 años y ahí quedó tullido "
405,LA VIDA MOLA,"GÓMEZ, RAÚL (Maraton Man)",Deportes y juegos,22,8.33,3,Muy bueno,1,"La vida mola es el grito de guerra de Raúl Gómez, viajero, aventurero, y runner. Recorre el mundo a golpe de zapatilla en busca de historias inspiradoras de personas excepcionales con las que comparte"
406,COMO SIEMPRE LO DE SIEMPRE. Hooligans Ilustrados,"TABOADA, LUCÍA",Deportes y juegos,23,8,2,Muy bueno,0,"«El Celta rozó la hazaña», se pudo leer en todas las crónicas deportivas. Si el roce hace el cariño, la hazaña debe de querer muchísimo al Celta porque llevamos décadas rozándola, acariciándola y haci"
407,CAMPO DEL GAS,"GARCI, JOSÉ LUIS",Deportes y juegos,24,8,1,Muy bueno,1,Un homenaje emotivamente nostálgico a los grandes días del boxeo por uno de los expertos más reconocidos de nuestro país: el director de cine José Luis Garci. Con su reconocida y habitual maestría lit
408,NIEVE NEGRA,"BENÍTEZ MONTAÑÉS, JORGE",Deportes y juegos,25,8,1,Muy bueno,0,"Curiosidades, traiciones y grandes rivalidades que han rodeado al ajedrez desde los maestros árabes que trajeron el tablero a España hasta el actual campeón Carslen, calculdor y frio como una computad"
409,GRUPO SALVAJE. Hooligans Ilustrados,"JABOIS, MANUEL",Deportes y juegos,26,7.67,3,Muy bueno,0,"El libro que firma Manuel Jabois, Grupo salvaje, traza un recorrido por el madridismo de un niño gallego. No es algo casual, porque para Jabois el fútbol y la infancia van unidos. “Yo pienso que el fú"
410,AVIONES Y VERBENAS. Hooligans Ilustrados,"ACOSTA, DAVID (Usuario Arroba)",Deportes y juegos,27,7.5,2,Muy bueno,0,Era muy tarde cuando llegó el autobús de los jugadores. Vi claramente cómo me rodeaba una nube de humo. Se había formado en la estación de Getafe Central y bajaba recorriendo la calle Ramón y Cajal. T
411,TODO SE PUEDE ENTRENAR,"NADAL, TONI",Deportes y juegos,28,7.33,3,Muy bueno,0,"Rafa Nadal se ha convertido en un referente dentro del mundo del deporte no sólo por su éxito espectacular, sino también por la encarnación de una serie de valores que trascienden lo deportivo.Toni Na"
412,FRANZ. JÜRGEN. PEP.,"TORRES XIRAU, AXEL",Deportes y juegos,29,7,2,Muy bueno,0,"¿Qué ha ocurrido en el fútbol alemán para que tanto la selección nacional como su club más representativo, el Bayern de Múnich, hayan pasado en un periodo de diez años de ser considerados fuera de sus"
413,INFRAFÚTBOL. Hooligans Ilustrados,"BALLESTER, ENRIQUE",Deportes y juegos,30,7,1,Muy bueno,0,Infrafútbol es el hallazgo de una pasión que te mata lentamente. El hórror vacui en cada córner. La luz pastosa y tenue de los segundos tiempos. Los bocadillos de fritanga. El sabor metálico de las la
414,EL TAO DEL GUNG FU,"LEE, BRUCE",Deportes y juegos,31,7,1,Muy bueno,0,"El gung fu, antecesor del karate, ju-jutsu, etc., es una de las formas conocidas más antiguas de defensa personal y se puede considerar como la esencia concentrada de sabiduría y pensamientos profundo"
